Datetime,Lastprice,Volume,Precloseprice,AvgPrice,Iopv,Netvalue,Bid[0],BidQty[0],Bid[1],BidQty[1],Bid[2],BidQty[2],Bid[3],BidQty[3],Bid[4],BidQty[4],Bid[5],BidQty[5],Bid[6],BidQty[6],Bid[7],BidQty[7],Bid[8],BidQty[8],Bid[9],BidQty[9],Ask[0],AskQty[0],Ask[1],AskQty[1],Ask[2],AskQty[2],Ask[3],AskQty[3],Ask[4],AskQty[4],Ask[5],AskQty[5],Ask[6],AskQty[6],Ask[7],AskQty[7],Ask[8],AskQty[8],Ask[9],AskQty[9]
2020-09-25 09:25:00.630,1.254,100.0,1.248,1.254,1.251,1.251,1.247,100,1.245,25000,1.242,20000,1.237,20000,1.228,50000,1.218,100000,1.188,176800,1.185,168800,0.0,0,0.0,0,1.265,20000,1.278,500,1.302,1000,1.308,160600,1.311,152600,1.35,30000,1.366,300,0.0,0,0.0,0,0.0,0
2020-09-25 09:30:03.540,1.247,300.0,1.248,1.24875,1.256,1.251,1.245,25000,1.242,20000,1.237,20000,1.228,50000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.247,8700,1.265,20000,1.278,500,1.302,1000,1.35,30000,1.366,300,0.0,0,0.0,0,0.0,0,0.0,0
2020-09-25 09:30:04.720,1.247,8700.0,1.248,1.247077,1.256,1.251,1.254,191300,1.248,8700,1.245,25000,1.242,20000,1.237,20000,1.228,50000,0.0,0,0.0,0,0.0,0,0.0,0,1.261,10000,1.265,20000,1.278,500,1.302,1000,1.35,30000,1.366,300,0.0,0,0.0,0,0.0,0,0.0,0
2020-09-25 09:30:14.810,1.255,1800.0,1.248,1.248385,1.257,1.251,1.255,198200,1.245,25000,1.242,20000,1.237,20000,1.228,50000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.258,200000,1.261,10000,1.265,20000,1.278,500,1.302,1000,1.35,30000,1.366,300,0.0,0,0.0,0,0.0,0
2020-09-25 09:30:17.920,1.255,1600.0,1.248,1.249232,1.258,1.251,1.255,196600,1.245,25000,1.242,20000,1.237,20000,1.228,50000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.258,200000,1.261,10000,1.265,20000,1.278,500,1.302,1000,1.35,30000,1.366,300,0.0,0,0.0,0,0.0,0
2020-09-25 09:35:12.690,1.255,74500.0,1.248,1.254171,1.255,1.251,1.254,1100,1.252,859800,1.251,667900,1.245,25000,1.242,20000,1.237,20000,1.228,50000,1.2,5000,0.0,0,0.0,0,1.255,625500,1.256,659300,1.257,800000,1.258,167000,1.261,10000,1.265,20000,1.278,500,1.302,1000,1.35,30000,1.366,300
2020-09-25 09:35:16.490,1.254,1100.0,1.248,1.254169,1.255,1.251,1.252,659800,1.251,867900,1.245,25000,1.242,20000,1.237,20000,1.228,50000,1.2,5000,0.0,0,0.0,0,0.0,0,1.254,198900,1.255,500000,1.256,659300,1.257,800000,1.258,167000,1.261,10000,1.265,20000,1.278,500,1.302,1000,1.35,30000
2020-09-25 09:49:01.570,1.252,800.0,1.248,1.25415,1.254,1.251,1.252,1100,1.251,200000,1.25,500000,1.249,660200,1.248,168300,1.245,25000,1.242,20000,1.24,10500,1.237,20000,1.228,50000,1.253,159700,1.254,700000,1.255,676400,1.256,800000,1.261,10000,1.265,20000,1.278,500,1.302,1000,1.35,30000,1.366,300
2020-09-25 09:52:21.000,1.251,2000.0,1.248,1.2540799999999999,1.254,1.251,1.251,698000,1.25,660000,1.248,168300,1.245,25000,1.242,20000,1.24,10500,1.237,20000,1.228,50000,1.2,5000,0.0,0,1.254,859500,1.255,509000,1.256,967200,1.261,10000,1.265,20000,1.278,500,1.302,1000,1.35,30000,1.366,300,0.0,0
2020-09-25 09:55:09.020,1.255,800.0,1.248,1.2540879999999999,1.255,1.251,1.253,700000,1.252,659800,1.25,168000,1.245,25000,1.242,20000,1.24,10500,1.237,20000,1.228,50000,1.2,5000,0.0,0,1.255,8200,1.256,859300,1.257,800000,1.258,667000,1.261,10000,1.265,20000,1.278,500,1.302,1000,1.35,30000,1.366,300
2020-09-25 09:55:11.590,1.255,5200.0,1.248,1.254137,1.256,1.251,1.253,700000,1.252,659800,1.25,168000,1.245,25000,1.242,20000,1.24,10500,1.237,20000,1.228,50000,1.2,5000,0.0,0,1.255,3000,1.256,859300,1.257,500000,1.258,967000,1.261,10000,1.265,20000,1.278,500,1.302,1000,1.35,30000,1.366,300
2020-09-25 09:55:12.080,1.255,800.0,1.248,1.2541440000000001,1.256,1.251,1.253,700000,1.252,659800,1.25,168000,1.245,25000,1.242,20000,1.24,10500,1.237,20000,1.228,50000,1.2,5000,0.0,0,1.255,2200,1.256,859300,1.257,500000,1.258,967000,1.261,10000,1.265,20000,1.278,500,1.302,1000,1.35,30000,1.366,300
2020-09-25 10:07:19.010,1.253,200.0,1.248,1.254142,1.253,1.251,1.252,1400,1.251,500000,1.25,1340600,1.249,168200,1.246,29000,1.245,25000,1.242,20000,1.24,10500,1.237,20000,1.228,50000,1.253,199800,1.254,659500,1.255,502200,1.256,967200,1.261,10000,1.265,20000,1.278,500,1.302,1000,1.35,30000,1.366,300
2020-09-25 10:08:07.230,1.252,1400.0,1.248,1.2541120000000001,1.253,1.251,1.251,700000,1.25,640600,1.249,168200,1.246,29000,1.245,25000,1.242,20000,1.24,10500,1.237,20000,1.228,50000,1.2,5000,1.252,13600,1.254,359500,1.255,502200,1.256,800000,1.257,167100,1.261,10000,1.265,20000,1.278,500,1.302,1000,1.35,30000
2020-09-25 10:08:12.450,1.252,1200.0,1.248,1.2540870000000002,1.253,1.251,1.251,200000,1.25,980600,1.249,660200,1.248,168300,1.246,29000,1.245,25000,1.242,20000,1.24,10500,1.237,20000,1.228,50000,1.252,12400,1.253,159700,1.254,700000,1.255,669600,1.256,800000,1.261,10000,1.265,20000,1.278,500,1.302,1000,1.35,30000
2020-09-25 10:08:15.900,1.252,12400.0,1.248,1.253857,1.254,1.251,1.252,191700,1.251,200000,1.25,980600,1.249,160200,1.248,168300,1.246,29000,1.245,25000,1.242,20000,1.24,10500,1.237,20000,1.253,159700,1.254,200000,1.255,869600,1.256,800000,1.261,10000,1.265,20000,1.278,500,1.302,1000,1.35,30000,1.366,300
2020-09-25 10:08:16.730,1.253,1100.0,1.248,1.253849,1.254,1.251,1.252,191800,1.251,500000,1.25,1140600,1.249,168200,1.246,29000,1.245,25000,1.242,20000,1.24,10500,1.237,20000,1.228,50000,1.254,159500,1.255,702200,1.256,967200,1.257,500000,1.261,10000,1.265,20000,1.278,500,1.302,1000,1.35,30000,1.366,300
2020-09-25 10:11:11.530,1.255,100.0,1.248,1.25385,1.256,1.251,1.254,200000,1.253,500000,1.252,659800,1.251,167900,1.25,480600,1.246,29000,1.245,25000,1.242,20000,1.24,10500,1.237,20000,1.255,2100,1.256,159300,1.257,1000000,1.258,667000,1.259,500000,1.261,10000,1.265,20000,1.278,500,1.302,1000,1.35,30000
2020-09-25 10:12:16.200,1.255,2100.0,1.248,1.253871,1.257,1.251,1.255,197900,1.254,500000,1.253,501000,1.252,159800,1.251,167900,1.25,480600,1.246,29000,1.245,25000,1.242,20000,1.24,10500,1.256,159300,1.258,1167000,1.259,500000,1.26,500000,1.261,10000,1.265,20000,1.278,500,1.302,1000,1.35,30000,1.366,300
2020-09-25 10:36:18.530,1.255,5600.0,1.248,1.253923,1.256,1.251,1.254,300000,1.253,860700,1.252,867800,1.25,480600,1.246,29000,1.245,25000,1.242,20000,1.24,10500,1.237,20000,1.228,50000,1.255,194400,1.256,700000,1.257,959500,1.258,500000,1.259,166800,1.261,10000,1.265,20000,1.266,400,1.278,500,1.302,1000
2020-09-25 10:52:26.590,1.254,100.0,1.248,1.253923,1.256,1.251,1.254,299900,1.253,501000,1.252,859800,1.251,167900,1.25,480600,1.246,29000,1.245,25000,1.242,20000,1.24,10500,1.237,20000,1.255,210500,1.256,659300,1.257,800300,1.258,667000,1.261,10000,1.265,20000,1.266,400,1.278,500,1.302,1000,1.35,30000
2020-09-25 10:54:24.780,1.253,1000.0,1.248,1.253915,1.254,1.251,1.252,299900,1.251,659900,1.25,1348600,1.246,29000,1.245,25000,1.242,20000,1.24,10500,1.237,20000,1.228,50000,1.2,5000,1.253,199000,1.254,500000,1.255,669900,1.256,800000,1.257,167400,1.261,10000,1.265,20000,1.266,400,1.278,500,1.302,1000
