ExChangeId,ChannelNo,SeqNo,SecurityID,Trade2_Order1,TradeDate,UpdateTime,Price,Volume,TrdMoney,OrdSide,OrdType,TrdBSFlag,TrdBuyNo,TrdSellNo
1,1,10802,510100,2,20201023,92500920,1.284000,200,256.800000,-,-,N,130092,93358
1,1,10803,510100,2,20201023,92500920,1.284000,1600,2054.400000,-,-,N,130092,55073
1,1,10804,510100,2,20201023,92500920,1.284000,3000,3852.000000,-,-,N,130092,132916
1,1,16280,510100,2,20201023,93001670,1.284000,5100,6548.400000,-,-,S,130092,159557
1,1,16639,510100,2,20201023,93001780,1.284000,100,128.400000,-,-,S,130092,160889
1,1,16640,510100,2,20201023,93001780,1.284000,500,642.000000,-,-,S,154859,160889
1,1,28657,510100,2,20201023,93010570,1.283000,1900,2437.700000,-,-,B,204876,198273
1,1,34898,510100,2,20201023,93025830,1.283000,600,769.800000,-,-,S,212935,218065
1,1,34899,510100,2,20201023,93025830,1.283000,400,513.200000,-,-,S,214930,218065
1,1,73363,510100,2,20201023,93202220,1.283000,800,1026.400000,-,-,B,295539,286468
1,1,78849,510100,2,20201023,93217100,1.282000,5000,6410.000000,-,-,S,287829,306989
1,1,81896,510100,2,20201023,93225150,1.283000,1600,2052.800000,-,-,B,312929,286468
1,1,89285,510100,2,20201023,93248980,1.282000,25000,32050.000000,-,-,S,287829,328129
1,1,89286,510100,2,20201023,93248980,1.282000,300,384.600000,-,-,S,301691,328129
1,1,89287,510100,2,20201023,93248980,1.282000,500,641.000000,-,-,S,318963,328129
1,1,104927,510100,2,20201023,93330250,1.283000,300,384.900000,-,-,B,358182,346854
1,1,106058,510100,2,20201023,93333930,1.282000,150000,192300.000000,-,-,S,353082,360611
1,1,108430,510100,2,20201023,93341250,1.282000,100,128.200000,-,-,B,365489,365129
1,1,109637,510100,2,20201023,93344510,1.282000,49500,63459.000000,-,-,B,367673,365129
1,1,111324,510100,2,20201023,93350350,1.282000,16300,20896.600000,-,-,B,371520,365129
1,1,113606,510100,2,20201023,93356800,1.281000,250000,320250.000000,-,-,S,351217,375718
1,1,113825,510100,2,20201023,93357400,1.281000,250000,320250.000000,-,-,B,376080,375718
1,1,114650,510100,2,20201023,93359940,1.281000,5400,6917.400000,-,-,S,377381,377718
1,1,115593,510100,2,20201023,93402420,1.281000,82500,105682.500000,-,-,B,379349,377718
1,1,116669,510100,2,20201023,93405590,1.281000,82500,105682.500000,-,-,B,381508,377718
1,1,119963,510100,2,20201023,93414560,1.281000,27200,34843.200000,-,-,B,387580,377718
1,1,121835,510100,2,20201023,93420610,1.281000,9000,11529.000000,-,-,B,391115,377718
1,1,131843,510100,2,20201023,93456410,1.281000,30000,38430.000000,-,-,B,411550,410729
1,1,133623,510100,2,20201023,93502640,1.281000,9900,12681.900000,-,-,B,415027,410729
1,1,135436,510100,2,20201023,93508290,1.281000,3200,4099.200000,-,-,B,418386,410729
1,1,140885,510100,2,20201023,93524880,1.281000,1100,1409.100000,-,-,S,422388,428932
1,1,140886,510100,2,20201023,93524880,1.281000,8000,10248.000000,-,-,S,424612,428932
1,1,147357,510100,2,20201023,93548550,1.281000,2300,2946.300000,-,-,B,442536,432872
1,1,149532,510100,2,20201023,93557130,1.281000,800,1024.800000,-,-,B,447212,432872
1,1,161239,510100,2,20201023,93635420,1.281000,800,1024.800000,-,-,S,468662,470025
1,1,173125,510100,2,20201023,93717350,1.282000,300,384.600000,-,-,B,492509,478691
1,1,185944,510100,2,20201023,93810490,1.282000,8000,10256.000000,-,-,B,518998,492261
1,1,192001,510100,2,20201023,93834060,1.282000,22000,28204.000000,-,-,B,530863,492261
1,1,205997,510100,2,20201023,93921310,1.284000,250000,321000.000000,-,-,B,557326,556322
1,1,231557,510100,2,20201023,94040380,1.286000,250000,321500.000000,-,-,B,605813,604214
1,1,234261,510100,2,20201023,94048220,1.288000,200,257.600000,-,-,B,610769,104406
1,1,234262,510100,2,20201023,94048220,1.288000,82300,106002.400000,-,-,B,610769,586426
1,1,241644,510100,2,20201023,94108820,1.287000,82300,105920.100000,-,-,S,613330,624469
1,1,255294,510100,2,20201023,94151010,1.286000,700,900.200000,-,-,S,617190,649453
1,1,258180,510100,2,20201023,94200820,1.287000,200,257.400000,-,-,B,654835,624469
1,1,262646,510100,2,20201023,94213100,1.287000,5000,6435.000000,-,-,B,662637,624469
1,1,266464,510100,2,20201023,94224970,1.287000,11800,15186.600000,-,-,B,669873,624469
